Overnight_Cost ($/kW),Power_Price ($/MWh),NPV ($M)
3000,40,-1344.0432854495098
3000,50,-703.8398580113056
3000,60,-63.63643057310001
3000,70,576.5669968651051
3000,80,1216.7704243033102
3000,90,1856.9738517415155
3000,100,2497.17727917972
3000,110,3137.3807066179247
3000,120,3777.58413405613
3000,130,4417.787561494336
4000,40,-2188.8092880793656
4000,50,-1548.6058606411605
4000,60,-908.4024332029553
4000,70,-268.1990057647501
4000,80,372.0044216734552
4000,90,1012.2078491116603
4000,100,1652.4112765498642
4000,110,2292.6147039880693
4000,120,2932.818131426275
4000,130,3573.0215588644796
5000,40,-3033.57529070922
5000,50,-2393.371863271015
5000,60,-1753.1684358328105
5000,70,-1112.9650083946055
5000,80,-472.76158095640005
5000,90,167.4418464818049
5000,100,807.6452739200091
5000,110,1447.8487013582144
5000,120,2088.0521287964193
5000,130,2728.2555562346242
6000,40,-3878.3412933390755
6000,50,-3238.13786590087
6000,60,-2597.934438462666
6000,70,-1957.7310110244612
6000,80,-1317.5275835862547
6000,90,-677.3241561480503
6000,100,-37.120728709845864
6000,110,603.0826987283597
6000,120,1243.2861261665641
6000,130,1883.4895536047695
7000,40,-4723.107295968931
7000,50,-4082.9038685307255
7000,60,-3442.700441092522
7000,70,-2802.4970136543166
7000,80,-2162.2935862161107
7000,90,-1522.0901587779056
7000,100,-881.8867313397021
7000,110,-241.68330390149617
7000,120,398.5201235367089
7000,130,1038.723550974914
8000,40,-5567.873298598785
8000,50,-4927.669871160581
8000,60,-4287.4664437223755
8000,70,-3647.26301628417
8000,80,-3007.059588845965
8000,90,-2366.85616140776
8000,100,-1726.6527339695567
8000,110,-1086.4493065313513
8000,120,-446.2458790931457
8000,130,193.9575483450594
9000,40,-6412.639301228642
9000,50,-5772.435873790436
9000,60,-5132.23244635223
9000,70,-4492.029018914025
9000,80,-3851.8255914758206
9000,90,-3211.622164037615
9000,100,-2571.4187365994126
9000,110,-1931.2153091612065
9000,120,-1291.0118817230016
9000,130,-650.8084542847959
10000,40,-7257.405303858496
10000,50,-6617.201876420291
10000,60,-5976.998448982086
10000,70,-5336.79502154388
10000,80,-4696.591594105676
10000,90,-4056.3881666674706
10000,100,-3416.184739229268
10000,110,-2775.981311791062
10000,120,-2135.7778843528563
10000,130,-1495.5744569146514
11000,40,-8102.171306488351
11000,50,-7461.967879050147
11000,60,-6821.764451611941
11000,70,-6181.561024173734
11000,80,-5541.35759673553
11000,90,-4901.154169297326
11000,100,-4260.950741859122
11000,110,-3620.7473144209166
11000,120,-2980.5438869827117
11000,130,-2340.3404595445063
12000,40,-8946.937309118208
12000,50,-8306.733881680004
12000,60,-7666.530454241796
12000,70,-7026.32702680359
12000,80,-6386.123599365386
12000,90,-5745.920171927182
12000,100,-5105.716744488978
12000,110,-4465.5133170507725
12000,120,-3825.309889612568
12000,130,-3185.1064621743617
